"","story_name","document_id","word","word_n","paragraph_n","number_word","lp_GroNLP_gpt2.medium.dutch.embeddings","lp_GroNLP_gpt2.small.dutch","lp_yhavinga_gpt2.large.dutch","lp_yhavinga_gpt.neo.125M.dutch","zipf_freq","zero_freq","lp_BramVanroy_fietje.2","sd_lp","se_lp","wl","s_lp","s_wl","s_freq","s_lp1","s_lp2","s_lp3","s_wl1","s_wl2","s_wl3","s_freq1","s_freq2","s_freq3","word_rm_punct","pos","lp"
"4453","violetta",8,"maar",38,2,267,-1.46990430355072,-0.606715321540833,-0.598135948181152,-1.09154987335205,6.91981797412884,"False",-0.641368089840398,0.388524679835542,0.173753519009723,4,1.03718047000108,-0.393221204964453,0.96218950067434,0.691987989833875,0.741419223291659,0.510352960802991,0.247751341240346,-0.713707478066853,-0.713707478066853,-1.5294331351631,0.802971116486008,1.00424556046528,"maar","CCONJ",-0.881534707293031
"4454","violetta",8,"haar",39,2,268,-3.63665080070496,-3.4154007434845,-3.44272923469543,-3.01112985610962,6.46989310600532,"False",-3.53059271909297,0.237736471744095,0.106318982310151,4,0.357553027243546,-0.393221204964453,0.760719444532873,1.03718047000108,0.691987989833875,0.741419223291659,-0.393221204964453,0.247751341240346,-0.713707478066853,0.96218950067434,-1.5294331351631,0.802971116486008,"haar","PRON",-3.4073006708175
"4455","violetta",8,"oudere",40,2,269,-6.84589099884033,-5.70013523101807,-7.48803329467773,-6.55887269973755,4.22649114062733,"False",-7.77922027558088,0.817696999936144,0.365685215370972,6,-0.575374493961882,0.247751341240346,-0.243844543667257,0.357553027243546,1.03718047000108,0.691987989833875,-0.393221204964453,-0.393221204964453,0.247751341240346,0.760719444532873,0.96218950067434,-1.5294331351631,"oudere","ADJ",-6.87443049997091
"4456","violetta",8,"broer",41,2,270,-0.968294143676758,-0.741752326488495,-1.1777331829071,-1.04701447486877,5.38658747490624,"False",-0.886816209182143,0.164273068009043,0.0734651493881334,5,1.01490423274417,-0.0727349318620536,0.275630351266793,-0.575374493961882,0.357553027243546,1.03718047000108,0.247751341240346,-0.393221204964453,-0.393221204964453,-0.243844543667257,0.760719444532873,0.96218950067434,"broer","NOUN",-0.964322067424653
"4457","violetta",8,"wil",42,2,271,-4.57113599777222,-4.74063539505005,-3.89505577087402,-3.90701770782471,6.59568201805496,"False",-3.73211431503296,0.453604857057462,0.202858259060912,3,0.152545060305527,-0.713707478066853,0.817045958064589,1.01490423274417,-0.575374493961882,0.357553027243546,-0.0727349318620536,0.247751341240346,-0.393221204964453,0.275630351266793,-0.243844543667257,0.760719444532873,"wil","VERB",-4.16919183731079
"4458","violetta",8,"dat",43,2,272,-2.54118537902832,-1.4040492773056,-1.58668196201324,-1.63386917114258,7.34022086769443,"False",-1.55801427364349,0.453469014721566,0.202797508521455,3,0.804905740172658,-0.713707478066853,1.15044002997258,0.152545060305527,1.01490423274417,-0.575374493961882,-0.713707478066853,-0.0727349318620536,0.247751341240346,0.817045958064589,0.275630351266793,-0.243844543667257,"dat","SCONJ",-1.74476001262665
"4459","violetta",8,"ze",44,2,273,-1.47933733463287,-1.12475883960724,-1.35595226287842,-2.87697672843933,6.96525036593153,"False",-1.01165747642517,0.753692583019378,0.337061569953747,2,0.85200066691076,-1.03419375116925,0.982533489583653,0.804905740172658,0.152545060305527,1.01490423274417,-0.713707478066853,-0.713707478066853,-0.0727349318620536,1.15044002997258,0.817045958064589,0.275630351266793,"ze","PRON",-1.56973652839661
"4460","violetta",8,"met",45,2,274,-3.48252534866333,-3.78406763076782,-2.56081199645996,-2.81442642211914,6.82956116709923,"False",-1.34617102146149,0.949373331023713,0.424572660838886,3,0.52160978660741,-0.713707478066853,0.921773766253515,0.85200066691076,0.804905740172658,0.152545060305527,-1.03419375116925,-0.713707478066853,-0.713707478066853,0.982533489583653,1.15044002997258,0.817045958064589,"met","ADP",-2.79760048389435
"4461","violetta",8,"Germán",46,2,275,-4.99336158872029,-2.93572216702159,-4.20679266238585,-5.72700724750757,1.35550232686675,"True",-3.71204591542482,1.08761306396603,0.486395348848974,6,0.113315116421664,0.247751341240346,-1.5294331351631,0.52160978660741,0.85200066691076,0.804905740172658,-0.713707478066853,-1.03419375116925,-0.713707478066853,0.921773766253515,0.982533489583653,1.15044002997258,"germán","NOUN",-4.31498591621202
"4462","violetta",8,"trouwt",47,2,276,-3.91980648040771,-0.955535352230072,-0.0303694158792496,-1.3992520570755,4.26345084847903,"False",-0.117072735447437,1.58129345132082,0.707175929905723,6,0.928776440685516,0.247751341240346,-0.227294503997501,0.113315116421664,0.52160978660741,0.85200066691076,0.247751341240346,-0.713707478066853,-1.03419375116925,-1.5294331351631,0.921773766253515,0.982533489583653,"trouwt","VERB",-1.28440720820799
