"","X","story_name","document_id","word","word_n","paragraph_n","lp","wl","s_lp","s_lp1","s_lp2","s_lp3","s_wl","s_wl1","s_wl2","s_wl3","number_word","word_rm_punct","pos","lp_quantile"
"4779",4779,"violetta",8,"is",91,4,-2.61754989624023,2,0.613623776097445,0.485451569506467,0.74878399561057,-0.0800281471564453,-1.0343949469528,-1.0343949469528,-0.713901874399868,-0.0729157292940105,593,"is","AUX","med_lp"
"4780",4780,"violetta",8,"gebeurd,",92,4,-2.38290703296661,8,0.669869153328134,0.613623776097445,0.485451569506467,0.74878399561057,0.888563488364776,-1.0343949469528,-1.0343949469528,-0.713901874399868,594,"gebeurd","VERB","high_lp"
"4781",4781,"violetta",8,"is",93,4,-3.26188516616821,2,0.459172539803608,0.669869153328134,0.613623776097445,0.485451569506467,-1.0343949469528,0.888563488364776,-1.0343949469528,-1.0343949469528,595,"is","AUX","med_lp"
"4782",4782,"violetta",8,"hun",94,4,-6.3606276512146,3,-0.28361561740087,0.459172539803608,0.669869153328134,0.613623776097445,-0.713901874399868,-1.0343949469528,0.888563488364776,-1.0343949469528,596,"hun","PRON","med_lp"
"4783",4783,"violetta",8,"liefde",95,4,-2.91950178146362,6,0.541244000923536,-0.28361561740087,0.459172539803608,0.669869153328134,0.247577343258918,-0.713901874399868,-1.0343949469528,0.888563488364776,597,"liefde","NOUN","med_lp"
"4784",4784,"violetta",8,"sterker",96,4,-5.12862825393677,7,0.0117024241586001,0.541244000923536,-0.28361561740087,0.459172539803608,0.568070415811847,0.247577343258918,-0.713901874399868,-1.0343949469528,598,"sterker","ADJ","med_lp"
"4785",4785,"violetta",8,"dan",97,4,-2.61407327651978,3,0.614457143816098,0.0117024241586001,0.541244000923536,-0.28361561740087,-0.713901874399868,0.568070415811847,0.247577343258918,-0.713901874399868,599,"dan","SCONJ","med_lp"
"4786",4786,"violetta",8,"ooit.",98,4,-1.54973340034485,5,0.869586138586821,0.614457143816098,0.0117024241586001,0.541244000923536,-0.0729157292940105,-0.713901874399868,0.568070415811847,0.247577343258918,600,"ooit","ADV","high_lp"
"4787",4787,"practice story de uil",11,"Toen",0,0,NA,4,NA,NA,NA,NA,-0.393408801846939,NA,NA,NA,1,"toen","SCONJ",NA
"4788",4788,"practice story de uil",11,"de",1,0,-7.42605400085449,2,-0.539005046727477,NA,NA,NA,-1.0343949469528,-0.393408801846939,NA,NA,2,"de","DET","low_lp"
"4789",4789,"practice story de uil",11,"huisknecht",2,0,-13.6568813323975,10,-2.03257373589425,-0.539005046727477,NA,NA,1.52954963347063,-1.0343949469528,-0.393408801846939,NA,3,"huisknecht","NOUN","low_lp"
"4790",4790,"practice story de uil",11,"naar",3,0,-4.00040340423584,4,0.282145050825949,-2.03257373589425,-0.539005046727477,NA,-0.393408801846939,1.52954963347063,-1.0343949469528,-0.393408801846939,4,"naar","ADP","med_lp"
"4791",4791,"practice story de uil",11,"de",4,0,-1.47107374668121,2,0.888441354685968,0.282145050825949,-2.03257373589425,-0.539005046727477,-1.0343949469528,-0.393408801846939,1.52954963347063,-1.0343949469528,5,"de","DET","high_lp"
"4792",4792,"practice story de uil",11,"schuur",5,0,-4.03980541229248,6,0.272700140480613,0.888441354685968,0.282145050825949,-2.03257373589425,0.247577343258918,-1.0343949469528,-0.393408801846939,1.52954963347063,6,"schuur","NOUN","med_lp"
"4793",4793,"practice story de uil",11,"ging",6,0,-3.31594371795654,4,0.446214363298858,0.272700140480613,0.888441354685968,0.282145050825949,-0.393408801846939,0.247577343258918,-1.0343949469528,-0.393408801846939,7,"ging","VERB","med_lp"
"4794",4794,"practice story de uil",11,"schrok",7,0,-11.8078479766846,6,-1.58934875494556,0.446214363298858,0.272700140480613,0.888441354685968,0.247577343258918,-0.393408801846939,0.247577343258918,-1.0343949469528,8,"schrok","VERB","low_lp"
"4795",4795,"practice story de uil",11,"hij",8,0,-2.9365222454071,3,0.537164088149773,-1.58934875494556,0.446214363298858,0.272700140480613,-0.713901874399868,0.247577343258918,-0.393408801846939,0.247577343258918,9,"hij","PRON","med_lp"
"4796",4796,"practice story de uil",11,"bij",9,0,-7.27079439163208,3,-0.501788337181871,0.537164088149773,-1.58934875494556,0.446214363298858,-0.713901874399868,-0.713901874399868,0.247577343258918,-0.393408801846939,10,"bij","ADP","low_lp"
"4797",4797,"practice story de uil",11,"het",10,0,-2.70387506484985,3,0.592931087620963,-0.501788337181871,0.537164088149773,-1.58934875494556,-0.713901874399868,-0.713901874399868,-0.713901874399868,0.247577343258918,11,"het","DET","med_lp"
"4798",4798,"practice story de uil",11,"gezicht",11,0,-6.45674419403076,7,-0.306655360154522,0.592931087620963,-0.501788337181871,0.537164088149773,0.568070415811847,-0.713901874399868,-0.713901874399868,-0.713901874399868,12,"gezicht","NOUN","med_lp"
"4799",4799,"practice story de uil",11,"van",12,0,-1.39299082756042,3,0.907158323870327,-0.306655360154522,0.592931087620963,-0.501788337181871,-0.713901874399868,0.568070415811847,-0.713901874399868,-0.713901874399868,13,"van","ADP","high_lp"
"4800",4800,"practice story de uil",11,"de",13,0,-1.21666598320007,2,0.949424503407292,0.907158323870327,-0.306655360154522,0.592931087620963,-1.0343949469528,-0.713901874399868,0.568070415811847,-0.713901874399868,14,"de","DET","high_lp"
"4801",4801,"practice story de uil",11,"uil,",14,0,-9.84764456748962,4,-1.1194756096009,0.949424503407292,0.907158323870327,-0.306655360154522,-0.393408801846939,-1.0343949469528,-0.713901874399868,0.568070415811847,15,"uil","SYM","low_lp"
"4802",4802,"practice story de uil",11,"zo",15,0,-5.36799573898315,2,-0.0456754747698451,-1.1194756096009,0.949424503407292,0.907158323870327,-1.0343949469528,-0.393408801846939,-1.0343949469528,-0.713901874399868,16,"zo","ADV","med_lp"
"4803",4803,"practice story de uil",11,"erg,",16,0,-11.2199454307556,4,-1.44842479923973,-0.0456754747698451,-1.1194756096009,0.949424503407292,-0.393408801846939,-1.0343949469528,-0.393408801846939,-1.0343949469528,17,"erg","ADJ","low_lp"
"4804",4804,"practice story de uil",11,"dat",17,0,-0.811117351055145,3,1.04663707353256,-1.44842479923973,-0.0456754747698451,-1.1194756096009,-0.713901874399868,-0.393408801846939,-1.0343949469528,-0.393408801846939,18,"dat","SCONJ","high_lp"
"4805",4805,"practice story de uil",11,"hij",18,0,-0.37098628282547,3,1.15213927214261,1.04663707353256,-1.44842479923973,-0.0456754747698451,-0.713901874399868,-0.713901874399868,-0.393408801846939,-1.0343949469528,19,"hij","PRON","high_lp"
"4806",4806,"practice story de uil",11,"hard",19,0,-8.331374168396,4,-0.75601601236057,1.15213927214261,1.04663707353256,-1.44842479923973,-0.393408801846939,-0.713901874399868,-0.713901874399868,-0.393408801846939,20,"hard","ADJ","low_lp"
"4807",4807,"practice story de uil",11,"wegliep",20,0,-10.2577505111694,7,-1.21778059610252,-0.75601601236057,1.15213927214261,1.04663707353256,0.568070415811847,-0.393408801846939,-0.713901874399868,-0.713901874399868,21,"wegliep","VERB","low_lp"
"4808",4808,"practice story de uil",11,"en",21,0,-2.53894567489624,2,0.632465704719249,-1.21778059610252,-0.75601601236057,1.15213927214261,-1.0343949469528,0.568070415811847,-0.393408801846939,-0.713901874399868,22,"en","CCONJ","med_lp"
"4809",4809,"practice story de uil",11,"aan",22,0,-6.11743593215942,3,-0.225321025411991,0.632465704719249,-1.21778059610252,-0.75601601236057,-0.713901874399868,-1.0343949469528,0.568070415811847,-0.393408801846939,23,"aan","ADP","med_lp"
"4810",4810,"practice story de uil",11,"zijn",23,0,-2.88486194610596,4,0.549547388376784,-0.225321025411991,0.632465704719249,-1.21778059610252,-0.393408801846939,-0.713901874399868,-1.0343949469528,0.568070415811847,24,"zijn","AUX","med_lp"
"4811",4811,"practice story de uil",11,"meester",24,0,-6.96529197692871,7,-0.428557477652852,0.549547388376784,-0.225321025411991,0.632465704719249,0.568070415811847,-0.393408801846939,-0.713901874399868,-1.0343949469528,25,"meester","NOUN","low_lp"
